cd_procedimento;nm_procedimento
20105037;Fornecimento de equipamentos coletores e adjuvantes para colostomia, ileostomia e urostomia, sonda vesical de demora e coletor de urina
20201052;Cardioversão elétrica eletiva (avaliação clínica, eletrocardiográfica, indispensável à desfibrilação)
20201087;Tratamento conservador de traumatismo cranioencefálico, hipertensão intracraniana e hemorragia (por dia)
20202016;Cardiotocografia anteparto
20202024;Cardiotocografia intraparto (por hora) até 6 horas externa
20202032;Monitorização hemodinâmica invasiva (por 12 horas)
20203012;Assistência fisiátrica respiratória em paciente internado com ventilação mecânica
20203020;Eletroestimulação do assoalho pélvico e/ou outra técnica de exercícios perineais
20203047;Assistência fisiátrica respiratória em doente clínico internado
20203063;Pacientes com doença isquêmica do coração, hospitalizado, até 8 semanas de programa
20203071;Pacientes em pós-operatório de cirurgia cardíaca, hospitalizado, até 8 semanas de programa
20204027;Cardioversão elétrica de emergência
20204035;Cardioversão química de arritmia paroxísta em emergência
20204043;Priapismo - tratamento não cirúrgico
20204159;Pulsoterapia intravenosa (por sessão) - hospitalar
20204167;Terapia imunobiológica intravenosa (por sessão) - hospitalar
20204175;Terapia imunobiológica subcutânea (por sessão) - hospitalar 
30101018;Abrasão cirúrgica (por sessão)
30101050;Apêndice pré-auricular - ressecção
30101077;Biópsia de pele, tumores superficiais, tecido celular subcutâneo, linfonodo superficial, etc
30101085;Biópsia de unha
30101093;Calosidade e/ou mal perfurante - desbastamento (por lesão)
30101107;Cauterização química (por grupo de até 5 lesões)
30101123;Cirurgia micrográfica de Mohs
30101123;Cirurgia micrográfica de Mohs
30101204;Criocirurgia (nitrogênio líquido) de neoplasias cutâneas
30101212;Curativo de queimaduras - por unidade topográfica (UT) ambulatorial
30101220;Curativo de queimaduras - por unidade topográfica (UT) hospitalar
30101220;Curativo de queimaduras - por unidade topográfica (UT) hospitalar
30101247;Curetagem e eletrocoagulação de CA de pele (por lesão)
30101255;Curetagem simples de lesões de pele (por grupo de até 5 lesões)
30101263;Dermoabrasão de lesões cutâneas
30101280;Desbridamento cirúrgico - por unidade topográfica (UT)
30101298;Eletrocoagulação de lesões de pele e mucosas - com ou sem curetagem (por grupo de até 5 lesões)
30101352;Epilação por eletrólise (por sessão)
30101387;Escarectomia descompressiva (pele e estruturas profundas) - por unidade topográfica (UT)
30101441;Exérese de lesão com auto-enxertia
30101450;Exérese e sutura de lesões (circulares ou não) com rotação de retalhos cutâneos
30101468;Exérese de lesão / tumor de pele e mucosas
30101476;Exérese de tumor e rotação de retalho músculo-cutâneo
30101484;Exérese de unha
30101492;Exérese e sutura simples de pequenas lesões (por grupo de até 5 lesões)
30101506;Exérese tangencial (shaving) - (por grupo de até 5 lesões)
30101590;Face - biópsia
30101603;Ferimentos infectados e mordidas de animais (desbridamento)
30101611;Incisão e drenagem de tenossinovites purulentas
30101611;Incisão e drenagem de tenossinovites purulentas
30101620;Incisão e drenagem de abscesso, hematoma ou panarício
30101638;Incisão e drenagem de flegmão
30101638;Incisão e drenagem de flegmão
30101638;Incisão e drenagem de flegmão
30101646;Infiltração intralesional, cicatricial / hemangiomas - por sessão
30101662;Matricectomia por dobra ungueal
30101670;Plástica em Z ou W
30101735;Retirada de corpo estranho subcutâneo
30101786;Sutura de extensos ferimentos com ou sem desbridamento
30101786;Sutura de extensos ferimentos com ou sem desbridamento
30101794;Sutura de pequenos ferimentos com ou sem desbridamento
30101794;Sutura de pequenos ferimentos com ou sem desbridamento
30101824;Tratamento cirúrgico de bridas constrictivas
30101824;Tratamento cirúrgico de bridas constrictivas
30101840;Tratamento da miiase furunculóide (por lesão)
30101913;TU partes moles - exérese
30101930;Abscesso de unha (drenagem) - tratamento cirúrgico
30101948;Cantoplastia ungueal
30101956;Unha (enxerto) - tratamento cirúrgico
30201012;Biópsia de lábio
30201055;Excisão em cunha
30201063;Frenotomia labial
30202027;Biópsia de boca
30202159;Laserterapia para o tratamento da mucosite oral / orofaringe, por sessão
30203015;Frenotomia lingual
30203031;Biópsia de língua
30204011;Biópsia de glândula salivar
30204038;Exérese de rânula ou mucocele
30204097;Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar
30204097;Plastia de ducto salivar ou exérese de cálculo ou de rânula salivar
30204100;Ressecção de tumor de glândula sublingual
30205018;Abscesso faríngeo - qualquer área
30205077;Biópsia do cavum, orofaringe ou hipofaringe
30205093;Corpo estranho de faringe - retirada em consultório
30205107;Corpo estranho de faringe - retirada sob anestesia geral
30207215;Retirada dos meios de fixação (na face)
30207223;Tratamento conservador de fratura de ossos
30207231;Redução de luxação do ATM
30208041;Osteotomias segmentares da maxila ou malar
30208041;Osteotomias segmentares da maxila ou malar
30208041;Osteotomias segmentares da maxila ou malar
30210119;Exérese de tumor maligno de pele
30210119;Exérese de tumor maligno de pele
30210127;Exérese de tumor benigno, cisto ou fístula
30210127;Exérese de tumor benigno, cisto ou fístula
30210127;Exérese de tumor benigno, cisto ou fístula
30210127;Exérese de tumor benigno, cisto ou fístula
30211018;Biópsia de mandíbula
30212103;Linfadenectomia superficial
30212120;Punção-biópsia de pescoço
30213010;Biópsia de tireóide
30214017;Biópsia de paratireóide
30301017;Abscesso de pálpebra - drenagem
30301025;Biópsia de pálpebra
30301033;Blefarorrafia
30301041;Calázio - exérese
30301050;Cantoplastia lateral
30301068;Cantoplastia medial
30301076;Coloboma - com plástica
30301084;Correção cirúrgica de ectrópio ou entrópio
30301114;Epicanto - correção cirúrgica - unilateral
30301122;Epilação
30301130;Epilação de cílios (diatermo-coagulação)
30301149;Fissura palpebral - correção cirúrgica
30301157;Lagoftalmo - correção cirúrgica
30301190;Ressecção de tumores palpebrais
30301203;Retração palpebral - correção cirúrgica
30301238;Sutura de pálpebra
30301246;Tarsorrafia
30301254;Telecanto - correção cirúrgica - unilateral
30301262;Triquíase com ou sem enxerto
30303028;Biópsia de conjuntiva
30303044;Infiltração subconjuntival
30303052;Plástica de conjuntiva
30303060;Pterígio - exérese
30303087;Sutura de conjuntiva
30304016;Cauterização de córnea
30304032;Corpo estranho da córnea - retirada
30304040;PTK ceratectomia fototerapêutica - monocular
30304059;Recobrimento conjuntival
30304083;Implante de anel intra-estromal
30304091;Fotoablação de superfície convencional - PRK
30304105;Delaminação corneana com fotoablação estromal - LASIK
30305012;Paracentese da câmara anterior
30306019;Capsulotomia YAG ou cirúrgica
30306027;Facectomia com lente intra-ocular com facoemulsificação
30306035;Facectomia com lente intra-ocular sem facoemulsificação
30306043;Facectomia sem implante
30306060;Implante secundário / explante / fixação escleral ou iriana
30306078;Remoção de pigmentos da lente intra-ocular com yag-laser
30307082;Retirada de óleo de silicone via pars plana
30307139;Infusão intravítrea de medicação anti-inflamatória
30307147;Tratamento ocular quimioterápico com anti-angiogênico. Programa de 24 meses. Uma sessão por mês (por sessão)
30308011;Biópsia de esclera
30310016;Biópsia de íris e corpo ciliar
30310024;Cicloterapia - qualquer técnica
30310067;Fototrabeculoplastia (laser)
30310075;Goniotomia ou trabeculotomia
30310083;Iridectomia (laser ou cirúrgica)
30310105;Sinequiotomia (cirúrgica)
30310113;Sinequiotomia (laser)
30311012;Biópsia de músculos
30311055;Injeção de toxina botulínica - monocular
30312043;Fotocoagulação (laser) - por sessão - monocular
30312124;Panfotocoagulação na retinopatia da prematuridade - binocular
30312132;Implante intravítreo de polímero farmacológico de liberação controlada
30312159;Termoterapia transpupilar
30313040;Fechamento dos pontos lacrimais
30313066;Sondagem das vias lacrimais - com ou sem lavagem
30401011;Biópsia de pavilhão auricular
30401038;Exérese de tumor com fechamento primário
30401046;Outros defeitos congênitos que não a microtia
30401054;Reconstrução de orelha - retoques
30401100;Tratamento cirúrgico de sinus pré-auricular
30402018;Aspiração auricular
30402026;Biópsia (orelha externa)
30402034;Cisto pré-auricular (coloboma auris) - exérese-unilateral
30402042;Corpos estranhos, pólipos ou biópsia - em consultório
30402050;Corpos estranhos, pólipos ou biópsia - em hospital sob anestesia geral
30402077;Furúnculo - drenagem (ouvido)
30402093;Tumor benigno de conduto auditivo externo - exérese
30403014;Cauterização de membrana timpânica
30403103;Paracentese do tímpano - miringotomia, unilateral - em consultório
30403162;Paracentese do tímpano, unilateral, em hospital - anestesia geral
30501016;Abscesso ou hematoma de septo nasal - drenagem
30501024;Abscesso ou hematoma de septo nasal - drenagem sob anestesia geral
30501059;Biópsia de nariz
30501067;Corneto inferior - cauterização linear - unilateral
30501075;Corneto inferior - infiltração medicamentosa (unilateral)
30501083;Corpos estranhos - retirada em consultório (nariz)
30501091;Corpos estranhos - retirada sob anestesia geral / hospital (nariz)
30501113;Epistaxe - cauterização (qualquer técnica)
30501121;Epistaxe - cauterização da artéria esfenopalatina com microscopia - unilateral
30501130;Epistaxe - cauterização das artérias etmoidais com microscopia - unilateral
30501156;Epistaxe - tamponamento antero-posterior
30501164;Epistaxe - tamponamento anterior
30501172;Epistaxe - tamponamento antero-posterior sob anestesia geral
30501199;Exérese de tumor nasal por via endoscopica
30501237;Fraturas dos ossos nasais - redução incruenta e gesso
30501288;Polipectomia - unilateral (nariz)
30501377;Sinéquia nasal - ressecção unilateral - qualquer técnica
30501440;Tumor intranasal - exérese por via transnasal
30501474;Corpos estranhos - retirada sob anestesia geral / hospital (nariz) - por videoendoscopia
30501482;Epistaxe - cauterização da artéria esfenopalatina com microscopia - unilateral por videoendoscopia
30501547;Fratura de osso próprio de nariz - tratamento conservador
30502160;Pólipo antro-coanal de Killiam - exérese
30502179;Punção maxilar transmeática ou via fossa canina
30502195;Biópsia de seios paranasais - qualquer via
30601223;Biópsia cirúrgica de costela ou esterno
30601231;Fratura luxação de esterno ou costela - redução incruenta
30601266;Punção biópsia de costela ou esterno
30601304;Fratura de costela ou esterno - tratamento conservador
30601312;Osteomielite de costela ou esterno - tratamento conservador
30602017;Biópsia incisional de mama
30602025;Coleta de fluxo papilar de mama
30602050;Drenagem de abscesso de mama
30602068;Drenagem e/ou aspiração de seroma
30602068;Drenagem e/ou aspiração de seroma
30602181;Punção ou biópsia percutânea de agulha fina - por nódulo (máximo de 3 nódulos por mama)
30602335;Biópsia percutânea com agulha grossa, em consultório
30710014;Retirada de fios ou pinos metálicos transósseos
30710022;Retirada de fios, pinos, parafusos ou hastes metálicas intra-ósseas
30710030;Retirada de placas
30710057;Retirada de fixadores externos
30711010;Imobilizações não-gessadas (qualquer segmento)
30711029;Imobilização de membro inferior
30711037;Imobilização de membro superior
30712017;Áxilo-palmar ou pendente
30712025;Bota com ou sem salto
30712033;Colar
30712041;Colete
30712050;Cruro-podálico
30712068;Dupla abdução ou Ducroquet
30712076;Halo-gesso
30712084;Inguino-maleolar
30712092;Luva
30712106;Minerva ou Risser para escoliose
30712114;Pelvipodálico
30712122;Spica-gessada
30712130;Tipo Velpeau
30712149;Tóraco-braquial
30713021;Biópsia óssea
30713030;Biópsias percutânea sinovial ou de tecidos moles
30713137;Punção articular diagnóstica ou terapêutica (infiltração) - orientada ou não por método de imagem
30713145;Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem
30713145;Punção extra-articular diagnóstica ou terapêutica (infiltração/agulhamento seco) - orientada ou não por método de imagem
30714028;Corpo estranho intra-ósseo - tratamento cirúrgico
30715040;Biópsia de corpo vertebral com agulha
30715121;Fratura de coluna sem gesso - tratamento conservador
30715130;Fratura do cóccix - redução incruenta
30715156;Fratura e/ou luxação de coluna vertebral - redução incruenta
30715237;Outras afecções da coluna - tratamento incruento
30715253;Punção liquórica
30715407;Fratura de coluna com gesso - tratamento conservador
30717086;Fratura de cintura escapular - tratamento conservador
30717094;Fraturas e/ou luxações e/ou avulsões - redução incruenta - em articulação escápulo-umeral e cintura escapular
30717175;Fratura de clavícula ou escápula - tratamento conservador
30718040;Fratura (incluindo descolamento epifisário) - redução incruenta
30718066;Fratura de úmero - tratamento conservador
30718104;Osteomielite de úmero - tratamento incruento
30719054;Biópsia cirúrgica de cotovelo
30719070;Fratura de cotovelo - tratamento conservador
30719097;Fraturas e ou luxações - redução incruenta
30719097;Fraturas e ou luxações - redução incruenta
30719119;Lesões ligamentares - redução incruenta
30720044;Biópsia cirúrgica do antebraço
30720087;Fratura do antebraço - tratamento conservador
30720109;Fratura e/ou luxações (incluindo descolamento epifisário) - redução incruenta
30721091;Biópsia cirúrgica de punho
30721105;Coto de amputação punho e antebraço - revisão
30721130;Fratura de punho - tratamento conservador
30721156;Fratura do carpo - redução incruenta
30721172;Fraturas do carpo - tratamento conservador
30721180;Fraturas e/ou luxações do punho - redução incruenta
30722012;Abscesso de mão e dedos - tenossinovites / espaços palmares / dorsais e comissurais - tratamento cirúrgico
30722039;Abscessos de dedo (drenagem) - tratamento cirúrgico
30722160;Biópsia cirúrgica dos ossos da mão
30722241;Coto de amputação digital - revisão
30722292;Dedo em martelo - tratamento conservador
30722349;Fratura de falanges - tratamento conservador
30722357;Fratura de Bennett - redução incruenta
30722365;Fratura de Bennett - tratamento cirúrgico
30722373;Fratura de osso da mão - tratamento conservador
30722381;Fratura de metacarpiano - tratamento conservador
30722403;Fraturas de falanges ou metacarpianos - redução incruenta
30722446;Fraturas e/ou luxações de metacarpianos - redução incruenta
30722497;Luxação metacarpofalangeana - redução incruenta
30722527;Osteossíntese de fratura de falange e metacarpeana com fixação externa
30722535;Osteossíntese de fratura de falange e metacarpeana com uso de miniparafuso
30722551;Plástica ungueal
30722586;Polidactilia não articulada - tratamento cirúrgico
30722632;Reconstrução da falange com retalho homodigital
30722640;Reconstrução de leito ungueal
30722691;Reparações cutâneas com retalho ilhado antebraquial invertido
30722713;Ressecção de cisto sinovial
30722764;Roturas do aparelho extensor de dedo - redução incruenta
30722900;Roturas do aparelho extensor de dedo - tratamento conservador
30722918;Rotura do aparelho extensor do dedo - tratamento cirúrgico
30723035;Fratura da cintura pélvica - tratamento conservador
30723060;Fraturas e/ou luxações do anel pélvico - redução incruenta
30723094;Fratura de pelve sem aparelho pelve-podálico - tratamento conservador
30723108;Fratura e/ou luxação de anel pélvico - tratamento conservador
30723116;Fratura ou disjunção ao nível da pelve - tratamento conservador com gesso
30723124;Fratura ou disjunção ao nível da pelve - tratamento conservador sem gesso
30724163;Fratura de acetábulo - redução incruenta
30725062;Descolamento epifisário (traumático ou não) - redução incruenta
30725100;Fratura de fêmur - tratamento conservador com gesso
30725178;Fêmur - descolamento epifisário de extremidades superior - tratamento conservador com gesso
30725186;Fêmur - descolamento epifisário de extremidades superior - tratamento conservador sem gesso
30725194;Fratura de extremidade superior do fêmur ou cavidade cotilóide - tratamento conservador com gesso
30725208;Necrose asséptica da cabeça femoral - tratamento conservador
30726050;Biópsia cirúrgica de joelho
30726085;Fratura de joelho - tratamento conservador
30726115;Fraturas e/ou luxações ao nível do joelho - redução incruenta
30726174;Lesões ligamentares agudas - tratamento incruento
30727057;Biópsia cirúrgica de tíbia ou fíbula
30727103;Fratura de osso da perna - tratamento conservador
30727120;Fraturas de fíbula (inclui descolamento epifisário) - redução incruenta
30727146;Fraturas de tíbia e fíbula (inclui descolamento epifisário) - redução incruenta
30727197;Fratura de dois ossos da perna - tratamento conservador
30728088;Biópsia cirúrgica do tornozelo
30728096;Fratura de tornozelo - tratamento conservador
30728118;Fraturas e/ou luxações ao nível do tornozelo - redução incruenta
30728134;Lesões ligamentares agudas ao nível do tornozelo - tratamento incruento
30729068;Biópsia cirúrgica dos ossos do pé
30729114;Exérese ungueal
30729130;Fratura de osso do pé - tratamento conservador
30729149;Fratura e/ou luxações do pé (exceto antepé) - redução incruenta
30729165;Fraturas e/ou luxações do antepé - redução incruenta
30729262;Rotura do tendão de Aquiles - tratamento incruento
30729343;Tratamento cirúrgico do mal perfurante plantar
30730023;Biópsia de músculo
30730112;Miorrafias
30730163;Lesão ligamentar aguda - tratamento conservador
30730171;Lesões músculo tendinosas - tratamento incruento
30731011;Abertura de bainha tendinosa - tratamento cirúrgico
30731020;Biópsias cirúrgicas de tendões, bursas e sinóvias
30731046;Cisto sinovial - tratamento cirúrgico
30731089;Tenodese
30731186;Tenossinovites estenosantes - tratamento cirúrgico
30731194;Tenossinovites infecciosas - drenagem
30731259;Rotura de tendão de aquiles - tratamento conservador
30801044;Punção traqueal
30801184;Traqueostomia com retirada de corpo estranho
30801184;Traqueostomia com retirada de corpo estranho
30803241;Biópsia transcutânea de pulmão por agulha
30804019;Biópsia percutânea de pleura por agulha
30804086;Punção pleural
30804116;Retirada de dreno tubular torácico (colocado em outro serviço)
30805023;Biópsia de linfonodos pré-escalênicos ou do confluente venoso
30904013;Cárdio-estimulação transesofágica (CETE), terapêutica ou diagnóstica
30907071;Fulguração de telangiectasias (por grupo)
30908027;Fístula arteriovenosa - com enxerto
30908078;Fístula arteriovenosa direta
30909023;Hemodiálise contínua (12h)
30909031;Hemodiálise crônica (por sessão)
30909139;Hemodepuração de casos agudos (sessão hemodiálise, hemofiltração, hemodiafiltração isolada, plasmaferese ou hemoperfusão) - até 4 horas ou fração
30909139;Hemodepuração de casos agudos (sessão hemodiálise, hemofiltração, hemodiafiltração isolada, plasmaferese ou hemoperfusão) - até 4 horas ou fração
30909147;Hemodepuração de casos agudos (sessão hemodiálise, hemofiltração, hemodiafiltração isolada, plasmaferese ou hemoperfusão) - até 12 horas
30911176;Mapeamento Eletrofisiológico Cardíaco Convencional
30912156;Punção saco pericárdico com introdução de cateter multipolar no espaço pericárdico
30912156;Punção saco pericárdico com introdução de cateter multipolar no espaço pericárdico
30912156;Punção saco pericárdico com introdução de cateter multipolar no espaço pericárdico
30913012;Implante de cateter venoso central por punção, para NPP, QT, Hemodepuração ou para infusão de soros/drogas
30913012;Implante de cateter venoso central por punção, para NPP, QT, Hemodepuração ou para infusão de soros/drogas
30913071;Dissecção de vaso umbilical com colocação de cateter
30913080;Dissecção de veia em RN ou lactente
30913098;Dissecção de veia com colocação cateter venoso
30913128;Retirada cirúrgica de cateter de longa permanência para NPP, QT ou para Hemodepuração
30913144;Confecção de fístula AV para hemodiálise
30913144;Confecção de fístula AV para hemodiálise
30913152;Retirada/desativação de fístula AV para hemodiálise
30913152;Retirada/desativação de fístula AV para hemodiálise
30914124;Punção biópsia ganglionar
30918014;Estudo eletrofisiológico cardíaco com ou sem sensibilização farmacológica
30918022;Mapeamento de gatilhos ou substratos arritmogênicos por técnica eletrofisiológica com ou sem provas farmacológicas
30918022;Mapeamento de gatilhos ou substratos arritmogênicos por técnica eletrofisiológica com ou sem provas farmacológicas
30918030;Mapeamento eletroanatômico tridimensional
31003362;Fecaloma - remoção manual
31004016;Abscesso anorretal - drenagem
31004024;Abscesso isquio-retal - drenagem
31004032;Cerclagem anal
31004040;Corpo estranho do reto - retirada
31004067;Dilatação digital ou instrumental do ânus e/ou do reto
31004180;Hemorróidas - ligadura elástica (por sessão)
31004199;Hemorróidas - tratamento esclerosante (por sessão)
31004229;Lesão anal - eletrocauterização
31004253;Prolapso retal - esclerose (por sessão)
31004318;Trombose hemorroidária - exérese
31005071;Biópsia hepática transparietal (até 3 fragmentos)
31005080;Laparotomia para implantação cirúrgica de cateter arterial visceral para quimioterapia
31005675;Biópsia hepática por videolaparoscopia
31005691;Biópsia hepática transparietal (acima de 3 fragmentos)
31007015;Biópsia esplênica
31008011;Diálise peritoneal intermitente - agudo ou crônico (por sessão)
31008020;Diálise peritoneal ambulatorial contínua (CAPD) 9 dias - treinamento
31008038;Diálise peritoneal ambulatorial contínua (CAPD) por mês/paciente
31009018;Abscesso perineal - drenagem cirúrgica
31009026;Biópsia de parede abdominal
31009247;Paracentese abdominal
31009352;Laparotomia exploradora, ou para biópsia, ou para drenagem de abscesso, ou para liberação de bridas em vigência de oclusão por videolaparoscopia
31101089;Cisto renal - escleroterapia percutânea - por cisto
31101313;Nefrostomia percutânea unilateral
31101402;Punção biópsia renal percutânea
31102026;Biópsia endoscópica de ureter unilateral
31103030;Biópsia endoscópica de bexiga (inclui cistoscopia)
31103057;Cálculo vesical - extração endoscópica
31103189;Cistostomia com procedimento endoscópico
31103197;Cistostomia por punção com trocater
31103235;Corpo estranho - extração endoscópica
31103235;Corpo estranho - extração endoscópica
31103391;Pólipos vesicais - ressecção endoscópica
31103405;Punção e aspiração vesical
31103430;Retenção por coágulo - aspiração vesical
31103596;Tratamento da hiperatividade vesical: injeção intravesical de toxina botulínica
31104010;Abscesso periuretral - tratamento cirúrgico
31104029;Biópsia endoscópica de uretra
31104045;Corpo estranho ou cálculo - extração endoscópica
31104061;Eletrocoagulação endoscópica
31104142;Meatotomia uretral
31104169;Ressecção de carúncula
31202012;Biópsia escrotal
31202012;Biópsia escrotal
31202020;Drenagem de abscesso - escroto
31202047;Exérese de cisto escrotal
31203027;Biópsia unilateral de testículo
31203086;Punção da vaginal
31204015;Biópsia de epidídimo
31204023;Drenagem de abscesso - epidídimo
31204066;Exérese de cisto unilateral
31205011;Espermatocelectomia unilateral
31206034;Biópsia peniana
31206174;Parafimose - redução manual ou cirúrgica
31206204;Plástica de corpo cavernoso
31206212;Plástica do freio bálano-prepucial
31206220;Postectomia
31301010;Bartolinectomia unilateral
31301029;Biópsia de vulva
31301045;Clitorectomia (parcial ou total)
31301070;Exérese de glândula de Skene
31301088;Exérese de lesão da vulva e/ou do períneo (por grupo de até 5 lesões)
31301096;Hipertrofia dos pequenos lábios - correção cirúrgica
31301100;Incisão e drenagem da glândula de Bartholin ou Skene
31301118;Marsupialização da glândula de Bartholin
31302017;Biópsia de vagina
31302076;Colpotomia ou culdocentese
31302084;Exérese de cisto vaginal
31302114;Himenotomia
31303021;Biópsia do colo uterino
31303030;Biópsia do endométrio
31303064;Dilatação do colo uterino
31303072;Excisão de pólipo cervical
31303170;Histeroscopia cirúrgica com biópsia e/ou curetagem uterina, lise de sinéquias, retirada de corpo estranho
