"cd_procedimento";"ano_realizacao";"cd_modalidade";"nm_modalidade";"n_procedimento";"custo_procedimento"
"006";"2023";28;Seguradora Especializada Em Saúde;75.00;29295.29
"006";"2024";22;Cooperativa Médica;20304.00;5813959.72
"006";"2024";24;Autogestão;725.00;233674.24
"006";"2024";25;Medicina De Grupo;3278.00;589550.53
"006";"2024";27;Filantropia;108.00;64691.16
"006";"2024";28;Seguradora Especializada Em Saúde;22.00;14952.25
"007";"2023";23;Cooperativa Odontológica;6914.00;182550.10
"007";"2023";24;Autogestão;382.00;36815.30
"007";"2023";25;Medicina De Grupo;1922.00;42463.29
"007";"2023";26;Odontologia De Grupo;7098.00;113730.31
"007";"2023";27;Filantropia;166.00;2157.40
"007";"2024";23;Cooperativa Odontológica;6620.00;188289.52
"007";"2024";24;Autogestão;74.00;25593.01
"007";"2024";25;Medicina De Grupo;1927.00;51386.89
"007";"2024";26;Odontologia De Grupo;5650.00;122864.85
"008";"2023";22;Cooperativa Médica;956.00;379228.26
"008";"2023";24;Autogestão;108.00;38820.15
"008";"2023";25;Medicina De Grupo;399.00;332178.00
"008";"2023";27;Filantropia;15.00;4813.82
"008";"2023";28;Seguradora Especializada Em Saúde;252.00;43709.53
"008";"2024";22;Cooperativa Médica;967.00;388962.12
"008";"2024";24;Autogestão;84.00;30710.18
"008";"2024";25;Medicina De Grupo;395.00;411739.93
"008";"2024";27;Filantropia;9.00;8469.28
"008";"2024";28;Seguradora Especializada Em Saúde;86.00;23512.24
"009";"2023";22;Cooperativa Médica;2333803.00;39069697.14
"009";"2023";24;Autogestão;482755.00;14805669.13
"009";"2023";25;Medicina De Grupo;837485.00;28095558.66
"009";"2023";27;Filantropia;58610.00;1332608.74
"009";"2023";28;Seguradora Especializada Em Saúde;1175625.00;22033779.37
"009";"2024";22;Cooperativa Médica;2138594.00;38870809.06
"009";"2024";24;Autogestão;404938.10;13431570.96
"009";"2024";25;Medicina De Grupo;912155.00;29788500.25
"009";"2024";27;Filantropia;45165.00;1181186.29
"009";"2024";28;Seguradora Especializada Em Saúde;764424.00;17695808.49
"010";"2023";22;Cooperativa Médica;1129.00;822881.81
"010";"2023";24;Autogestão;159.00;49050.66
"010";"2023";25;Medicina De Grupo;308.00;133196.10
"010";"2023";27;Filantropia;18.00;21177.39
"010";"2023";28;Seguradora Especializada Em Saúde;248.00;51009.16
"010";"2024";22;Cooperativa Médica;1115.00;1099593.87
"010";"2024";24;Autogestão;118.00;45155.83
"010";"2024";25;Medicina De Grupo;280.00;159900.22
"010";"2024";27;Filantropia;12.00;10153.99
"010";"2024";28;Seguradora Especializada Em Saúde;152.00;33976.70
"011";"2023";22;Cooperativa Médica;2501.00;126665.31
"011";"2023";24;Autogestão;154.00;31527.83
"011";"2023";25;Medicina De Grupo;416.00;61600.95
"011";"2023";27;Filantropia;626.00;18553.53
"011";"2023";28;Seguradora Especializada Em Saúde;1018.00;49864.96
"011";"2024";22;Cooperativa Médica;1251.00;113851.88
"011";"2024";24;Autogestão;94.00;83287.71
"011";"2024";25;Medicina De Grupo;220.00;18251.58
"011";"2024";27;Filantropia;3.00;38.93
"011";"2024";28;Seguradora Especializada Em Saúde;150.00;7525.22
"012";"2023";22;Cooperativa Médica;2936.00;524692.66
"012";"2023";24;Autogestão;297.00;89400.72
"012";"2023";25;Medicina De Grupo;263.00;87195.82
"012";"2023";27;Filantropia;109.00;53522.78
"012";"2023";28;Seguradora Especializada Em Saúde;525.00;120773.92
"012";"2024";22;Cooperativa Médica;2995.00;591879.43
"012";"2024";24;Autogestão;235.00;90400.78
"012";"2024";25;Medicina De Grupo;898.00;93933.42
"012";"2024";27;Filantropia;65.00;28561.34
"012";"2024";28;Seguradora Especializada Em Saúde;247.00;78600.66
"013";"2023";22;Cooperativa Médica;377620.26;16610920.90
"013";"2023";24;Autogestão;90454.01;6068973.06
"013";"2023";25;Medicina De Grupo;160827.00;14964487.43
"013";"2023";27;Filantropia;14811.00;725556.39
"013";"2023";28;Seguradora Especializada Em Saúde;144228.00;21049052.58
"013";"2024";22;Cooperativa Médica;334509.38;14832961.21
"013";"2024";24;Autogestão;81443.11;5610788.65
"013";"2024";25;Medicina De Grupo;168795.10;17056512.04
"013";"2024";27;Filantropia;11466.00;477477.78
"013";"2024";28;Seguradora Especializada Em Saúde;88516.00;10361303.65
"014";"2023";22;Cooperativa Médica;552.00;67845.95
"014";"2023";24;Autogestão;54.00;5880.38
"014";"2023";25;Medicina De Grupo;388.00;12302.85
"014";"2023";28;Seguradora Especializada Em Saúde;171.00;74844.12
"014";"2024";22;Cooperativa Médica;584.00;47385.81
"014";"2024";24;Autogestão;42.00;4708.20
"014";"2024";25;Medicina De Grupo;1678.00;50851.29
"014";"2024";28;Seguradora Especializada Em Saúde;294.00;111479.41
"015";"2023";22;Cooperativa Médica;270.00;19215.70
"015";"2023";24;Autogestão;398.00;35152.39
"015";"2023";25;Medicina De Grupo;339.00;20567.76
"015";"2023";27;Filantropia;14.00;713.36
"015";"2024";22;Cooperativa Médica;83.00;9165.60
"015";"2024";24;Autogestão;121.00;13640.96
"015";"2024";25;Medicina De Grupo;66.00;1480.00
"016";"2023";22;Cooperativa Médica;15711.00;1248670.57
"016";"2023";24;Autogestão;3016.00;160253.83
"016";"2023";25;Medicina De Grupo;6008.00;516026.50
"016";"2023";27;Filantropia;36.00;7778.90
"016";"2023";28;Seguradora Especializada Em Saúde;2770.00;235461.62
"016";"2024";22;Cooperativa Médica;11248.00;903203.49
"016";"2024";24;Autogestão;3781.00;178181.62
"016";"2024";25;Medicina De Grupo;11216.00;1057248.68
"016";"2024";28;Seguradora Especializada Em Saúde;3666.00;455481.14
"017";"2023";22;Cooperativa Médica;11830.00;602988.80
"017";"2023";24;Autogestão;258.00;16914.58
"017";"2023";25;Medicina De Grupo;934.00;59608.52
"017";"2023";27;Filantropia;31.00;1168.56
"017";"2024";22;Cooperativa Médica;8743.00;398835.89
"017";"2024";24;Autogestão;397.00;27807.88
"017";"2024";25;Medicina De Grupo;1251.00;113654.58
"017";"2024";28;Seguradora Especializada Em Saúde;1.00;70.01
"018";"2023";22;Cooperativa Médica;35445.00;1492352.14
"018";"2023";24;Autogestão;9014.00;434044.97
"018";"2023";25;Medicina De Grupo;8531.00;241147.06
"018";"2023";27;Filantropia;1125.00;37695.02
"018";"2023";28;Seguradora Especializada Em Saúde;968.00;129034.21
"018";"2024";22;Cooperativa Médica;20523.00;1217860.82
"018";"2024";24;Autogestão;13265.00;690480.41
"018";"2024";25;Medicina De Grupo;20126.00;721057.41
"018";"2024";27;Filantropia;130.00;2080.00
"018";"2024";28;Seguradora Especializada Em Saúde;790.00;187915.25
"019";"2023";22;Cooperativa Médica;54436.00;2549973.39
"019";"2023";24;Autogestão;3226.00;327375.28
"019";"2023";25;Medicina De Grupo;18206.00;1751993.06
"019";"2023";27;Filantropia;90.00;3147.46
"019";"2023";28;Seguradora Especializada Em Saúde;5998.00;876591.99
"019";"2024";22;Cooperativa Médica;17708.00;1313485.17
"019";"2024";24;Autogestão;1395.00;185904.26
"019";"2024";25;Medicina De Grupo;84122.00;7251697.10
"019";"2024";28;Seguradora Especializada Em Saúde;9522.00;1529690.32
"020";"2023";22;Cooperativa Médica;7504.00;604484.88
"020";"2023";24;Autogestão;1081.00;68754.74
"020";"2023";25;Medicina De Grupo;4957.00;528743.69
"020";"2023";27;Filantropia;19.00;4542.00
"020";"2023";28;Seguradora Especializada Em Saúde;147.00;19027.50
"020";"2024";22;Cooperativa Médica;7713.00;503929.82
"020";"2024";24;Autogestão;1415.00;86392.47
"020";"2024";25;Medicina De Grupo;18891.00;1924707.44
"020";"2024";28;Seguradora Especializada Em Saúde;37.00;4665.25
"021";"2023";22;Cooperativa Médica;463.00;1529721.73
"021";"2023";24;Autogestão;2.00;29262.95
"021";"2023";25;Medicina De Grupo;6.00;75183.05
"021";"2024";22;Cooperativa Médica;99.00;1575674.62
"021";"2024";25;Medicina De Grupo;12.00;120160.44
"022";"2023";22;Cooperativa Médica;1121.00;43955.88
"022";"2023";24;Autogestão;1.00;284.91
"022";"2023";25;Medicina De Grupo;3772.00;269754.73
"022";"2023";27;Filantropia;57.00;5139.02
"022";"2024";22;Cooperativa Médica;580.00;20166.15
"022";"2024";24;Autogestão;2.00;539.54
"022";"2024";25;Medicina De Grupo;2969.00;313667.31
"022";"2024";27;Filantropia;1847.00;165768.75
"022";"2024";28;Seguradora Especializada Em Saúde;1.00;7456.46
"023";"2023";22;Cooperativa Médica;22629.00;10226491.09
"023";"2023";24;Autogestão;283.00;178871.45
"023";"2023";25;Medicina De Grupo;1732.00;671479.14
"023";"2023";27;Filantropia;80.00;42305.18
"023";"2023";28;Seguradora Especializada Em Saúde;2441.00;1171721.73
"023";"2024";22;Cooperativa Médica;19952.00;8421566.08
"023";"2024";24;Autogestão;238.00;157461.12
"023";"2024";25;Medicina De Grupo;2069.00;666921.16
"023";"2024";28;Seguradora Especializada Em Saúde;1436.00;857349.61
"024";"2023";22;Cooperativa Médica;5.00;3041.71
"024";"2023";25;Medicina De Grupo;4.00;3420.00
"024";"2024";22;Cooperativa Médica;5.00;2657.17
"024";"2024";25;Medicina De Grupo;2.00;1710.00
"025";"2023";22;Cooperativa Médica;27790.00;8127566.28
"025";"2023";24;Autogestão;274.00;81558.58
"025";"2023";25;Medicina De Grupo;1943.00;561044.83
"025";"2023";27;Filantropia;132.00;28686.80
"025";"2023";28;Seguradora Especializada Em Saúde;2493.00;716725.59
"025";"2024";22;Cooperativa Médica;22957.00;6927070.47
"025";"2024";24;Autogestão;117.00;46678.23
"025";"2024";25;Medicina De Grupo;2974.00;739433.66
"025";"2024";28;Seguradora Especializada Em Saúde;1826.00;659731.52
"026";"2023";22;Cooperativa Médica;1.00;310.47
"026";"2023";24;Autogestão;1.00;300.00
"026";"2024";24;Autogestão;2.00;600.00
"027";"2023";22;Cooperativa Médica;121288.00;11836292.37
"027";"2023";24;Autogestão;1240.00;158923.59
"027";"2023";25;Medicina De Grupo;15462.00;1472193.03
"027";"2023";27;Filantropia;371.00;33073.74
"027";"2023";28;Seguradora Especializada Em Saúde;28313.00;2435683.50
"027";"2024";22;Cooperativa Médica;104663.00;10771857.68
"027";"2024";24;Autogestão;53.00;9398.91
"027";"2024";25;Medicina De Grupo;31177.00;2919415.14
"027";"2024";27;Filantropia;27.00;2343.24
"027";"2024";28;Seguradora Especializada Em Saúde;16000.00;1648375.43
"028";"2023";22;Cooperativa Médica;591.00;58700.11
"028";"2023";25;Medicina De Grupo;63.00;12177.06
"028";"2023";27;Filantropia;1.00;115.86
"028";"2023";28;Seguradora Especializada Em Saúde;73.00;18981.99
"028";"2024";22;Cooperativa Médica;1197.00;103267.52
"028";"2024";24;Autogestão;1.00;244.85
"028";"2024";25;Medicina De Grupo;170.00;35643.19
"028";"2024";28;Seguradora Especializada Em Saúde;21.00;5666.02
"029";"2023";22;Cooperativa Médica;1610483.11;15897037.39
"029";"2023";24;Autogestão;577864.25;21579650.95
"029";"2023";25;Medicina De Grupo;454446.02;6358985.88
"029";"2023";27;Filantropia;121051.10;434106.67
"029";"2023";28;Seguradora Especializada Em Saúde;515743.71;7801458.45
"029";"2024";22;Cooperativa Médica;1389218.08;20492678.30
"029";"2024";24;Autogestão;514926.60;18331310.34
"029";"2024";25;Medicina De Grupo;312647.47;4307610.80
"029";"2024";27;Filantropia;249340.00;187906.90
"029";"2024";28;Seguradora Especializada Em Saúde;340797.11;6695193.39
"030";"2023";22;Cooperativa Médica;9136474.50;92086422.50
"030";"2023";24;Autogestão;1839432.87;35925924.04
"030";"2023";25;Medicina De Grupo;3057309.12;25798877.77
"030";"2023";27;Filantropia;108758.50;1217856.28
"030";"2023";28;Seguradora Especializada Em Saúde;543626.17;26815263.63
"030";"2024";22;Cooperativa Médica;8031159.12;98203285.38
"030";"2024";24;Autogestão;1258905.15;19425221.93
"030";"2024";25;Medicina De Grupo;3813369.22;37287454.10
"030";"2024";27;Filantropia;127179.00;720800.91
"030";"2024";28;Seguradora Especializada Em Saúde;289574.14;21070126.38
"031";"2023";22;Cooperativa Médica;350778.26;29255240.55
"031";"2023";24;Autogestão;74160.00;4131954.52
"031";"2023";25;Medicina De Grupo;251707.18;13984700.68
"031";"2023";27;Filantropia;25641.50;641872.47
"031";"2023";28;Seguradora Especializada Em Saúde;50740.33;9044647.65
"031";"2024";22;Cooperativa Médica;378217.98;35628519.64
"031";"2024";24;Autogestão;59694.17;3779247.91
"031";"2024";25;Medicina De Grupo;351410.00;36118170.73
"031";"2024";27;Filantropia;19880.00;435611.23
"031";"2024";28;Seguradora Especializada Em Saúde;47769.91;9509236.39
"10101012";"2023";22;Cooperativa Médica;8019571.00;780672883.00
"10101012";"2023";24;Autogestão;1991005.14;192751154.69
"10101012";"2023";25;Medicina De Grupo;9660308.00;733551765.67
"10101012";"2023";27;Filantropia;296923.00;26381146.76
"10101012";"2023";28;Seguradora Especializada Em Saúde;1443486.00;193687381.25
"10101012";"2024";22;Cooperativa Médica;5180677.10;517285855.51
"10101012";"2024";24;Autogestão;1285335.25;143620431.36
"10101012";"2024";25;Medicina De Grupo;9409519.00;859396471.98
"10101012";"2024";27;Filantropia;129256.00;12879757.80
"10101012";"2024";28;Seguradora Especializada Em Saúde;944576.00;134112965.18
"10101039";"2023";22;Cooperativa Médica;2442260.00;224169854.28
"10101039";"2023";24;Autogestão;430483.01;45708600.47
"10101039";"2023";25;Medicina De Grupo;757069.00;110851224.08
"10101039";"2023";27;Filantropia;190645.70;20479052.77
"10101039";"2023";28;Seguradora Especializada Em Saúde;210583.00;24870279.29
"10101039";"2024";22;Cooperativa Médica;1814822.00;188901831.18
"10101039";"2024";24;Autogestão;317285.00;35231074.58
"10101039";"2024";25;Medicina De Grupo;658273.00;119946917.31
"10101039";"2024";27;Filantropia;107047.00;18172672.76
"10101039";"2024";28;Seguradora Especializada Em Saúde;185176.00;23418535.08
"10106014";"2023";22;Cooperativa Médica;2911.00;608633.11
"10106014";"2023";24;Autogestão;167.00;34414.51
"10106014";"2023";25;Medicina De Grupo;2874.00;381154.95
"10106014";"2023";27;Filantropia;3.00;360.00
"10106014";"2023";28;Seguradora Especializada Em Saúde;312.00;79632.29
"10106014";"2024";22;Cooperativa Médica;2004.00;390402.69
"10106014";"2024";24;Autogestão;105.00;19093.98
"10106014";"2024";25;Medicina De Grupo;2331.00;289845.02
"10106014";"2024";28;Seguradora Especializada Em Saúde;159.00;49543.44
"10106030";"2023";22;Cooperativa Médica;25.00;1239.24
"10106030";"2023";24;Autogestão;9.00;339.11
"10106030";"2023";25;Medicina De Grupo;233.00;60341.33
"10106030";"2023";28;Seguradora Especializada Em Saúde;22.00;956.18
"10106030";"2024";22;Cooperativa Médica;4.00;232.32
"10106030";"2024";24;Autogestão;2.00;72.62
"10106030";"2024";25;Medicina De Grupo;58.00;26070.00
"10106030";"2024";28;Seguradora Especializada Em Saúde;12.00;1510.32
"10106049";"2023";22;Cooperativa Médica;555.00;57184.22
"10106049";"2023";24;Autogestão;52.00;4897.54
"10106049";"2023";25;Medicina De Grupo;28.00;1822.37
"10106049";"2023";27;Filantropia;3.00;229.20
"10106049";"2023";28;Seguradora Especializada Em Saúde;49.00;4421.71
"10106049";"2024";22;Cooperativa Médica;57.00;5407.98
"10106049";"2024";24;Autogestão;6.00;654.11
"10106049";"2024";25;Medicina De Grupo;3.00;194.33
"10106049";"2024";28;Seguradora Especializada Em Saúde;22.00;1910.97
"10106090";"2023";22;Cooperativa Médica;47.00;18119.21
"10106090";"2023";24;Autogestão;315.00;339741.24
"10106090";"2023";25;Medicina De Grupo;36.00;41040.80
"10106090";"2024";25;Medicina De Grupo;4.00;0.06
"10106090";"2024";28;Seguradora Especializada Em Saúde;1.00;155.25
"10106146";"2023";22;Cooperativa Médica;175228.00;26133013.45
"10106146";"2023";24;Autogestão;12171.02;1648203.59
"10106146";"2023";25;Medicina De Grupo;16831.00;1854759.17
"10106146";"2023";27;Filantropia;5115.00;532504.66
"10106146";"2023";28;Seguradora Especializada Em Saúde;10878.00;1866182.87
"10106146";"2024";22;Cooperativa Médica;88736.00;13374300.14
"10106146";"2024";24;Autogestão;6475.00;782432.56
"10106146";"2024";25;Medicina De Grupo;10607.00;904886.32
"10106146";"2024";27;Filantropia;729.00;80046.20
"10106146";"2024";28;Seguradora Especializada Em Saúde;6471.00;1214587.91
"20101023";"2023";24;Autogestão;40.00;570.87
"20101023";"2023";25;Medicina De Grupo;40.00;912.46
"20101023";"2023";28;Seguradora Especializada Em Saúde;329.00;7984.95
"20101023";"2024";22;Cooperativa Médica;22.00;580.30
"20101023";"2024";24;Autogestão;1.00;25.50
"20101023";"2024";25;Medicina De Grupo;63.00;848.07
"20101023";"2024";28;Seguradora Especializada Em Saúde;1054.00;13478.64
"20101074";"2023";22;Cooperativa Médica;528.00;124950.01
"20101074";"2023";24;Autogestão;829.00;59856.24
"20101074";"2023";25;Medicina De Grupo;11050.00;1137984.37
"20101074";"2023";27;Filantropia;336.00;25803.15
"20101074";"2023";28;Seguradora Especializada Em Saúde;1577.00;243215.49
"20101074";"2024";22;Cooperativa Médica;2280.00;847889.55
"20101074";"2024";24;Autogestão;19.00;2667.82
"20101074";"2024";25;Medicina De Grupo;12848.00;1080059.10
"20101074";"2024";27;Filantropia;118.00;10589.00
"20101074";"2024";28;Seguradora Especializada Em Saúde;994.00;171838.41
"20101082";"2023";22;Cooperativa Médica;22.00;1729.27
"20101082";"2023";24;Autogestão;13.00;719.57
"20101082";"2023";25;Medicina De Grupo;120.00;9224.94
"20101082";"2023";27;Filantropia;2.00;80.14
"20101082";"2023";28;Seguradora Especializada Em Saúde;113.00;11831.47
"20101082";"2024";28;Seguradora Especializada Em Saúde;1.00;500.00
"20101090";"2023";22;Cooperativa Médica;104.00;5432.78
"20101090";"2023";24;Autogestão;600.00;35128.13
"20101090";"2023";25;Medicina De Grupo;395.00;38091.22
"20101090";"2023";28;Seguradora Especializada Em Saúde;1554.00;160043.97
"20101090";"2024";24;Autogestão;374.00;22283.77
"20101090";"2024";25;Medicina De Grupo;376.00;42639.97
"20101090";"2024";28;Seguradora Especializada Em Saúde;151.00;15137.34
"20101104";"2023";22;Cooperativa Médica;13845.00;396023.03
"20101104";"2023";24;Autogestão;4038.00;125479.21
"20101104";"2023";25;Medicina De Grupo;4741.00;193521.98
"20101104";"2023";27;Filantropia;226.00;9937.60
"20101104";"2023";28;Seguradora Especializada Em Saúde;11674.00;600769.93
"20101104";"2024";22;Cooperativa Médica;12375.00;339855.07
"20101104";"2024";24;Autogestão;2572.00;115329.60
"20101104";"2024";25;Medicina De Grupo;4568.00;169590.78
"20101104";"2024";27;Filantropia;62.00;3240.00
"20101104";"2024";28;Seguradora Especializada Em Saúde;5623.00;259250.83
"20101201";"2023";22;Cooperativa Médica;4322.00;706482.10
"20101201";"2023";24;Autogestão;970.00;234506.33
"20101201";"2023";25;Medicina De Grupo;534.00;96211.70
"20101201";"2023";27;Filantropia;40.00;4750.00
"20101201";"2023";28;Seguradora Especializada Em Saúde;230.00;32008.62
"20101201";"2024";22;Cooperativa Médica;3193.20;637463.55
"20101201";"2024";24;Autogestão;576.00;172518.61
"20101201";"2024";25;Medicina De Grupo;326.00;73510.94
"20101201";"2024";27;Filantropia;9.00;3625.49
"20101201";"2024";28;Seguradora Especializada Em Saúde;119.00;16994.13
"20101236";"2023";22;Cooperativa Médica;4067.00;573113.46
"20101236";"2023";24;Autogestão;2558.00;417688.65
"20101236";"2023";25;Medicina De Grupo;250.00;25259.82
"20101236";"2023";27;Filantropia;4.00;1103.26
"20101236";"2023";28;Seguradora Especializada Em Saúde;38.00;6532.14
"20101236";"2024";22;Cooperativa Médica;3841.00;502866.26
"20101236";"2024";24;Autogestão;2520.00;378203.14
"20101236";"2024";25;Medicina De Grupo;270.00;27106.02
"20101236";"2024";28;Seguradora Especializada Em Saúde;16.00;3005.56
"20102011";"2023";22;Cooperativa Médica;37772.00;3728019.92
"20102011";"2023";24;Autogestão;5306.00;666242.94
"20102011";"2023";25;Medicina De Grupo;27406.00;3360074.28
"20102011";"2023";27;Filantropia;1243.00;135654.43
"20102011";"2023";28;Seguradora Especializada Em Saúde;3230.00;351913.06
"20102011";"2024";22;Cooperativa Médica;33227.00;3259475.43
"20102011";"2024";24;Autogestão;3678.00;456024.77
"20102011";"2024";25;Medicina De Grupo;22485.00;3356360.77
"20102011";"2024";27;Filantropia;447.00;49082.25
"20102011";"2024";28;Seguradora Especializada Em Saúde;1813.00;204020.39
"20102020";"2023";22;Cooperativa Médica;54111.00;7153313.06
"20102020";"2023";24;Autogestão;28521.01;4618807.88
"20102020";"2023";25;Medicina De Grupo;21814.00;3204888.60
"20102020";"2023";27;Filantropia;1830.00;214476.66
"20102020";"2023";28;Seguradora Especializada Em Saúde;20016.00;3210159.95
"20102020";"2024";22;Cooperativa Médica;39416.00;4641173.36
"20102020";"2024";24;Autogestão;24961.01;4153521.06
"20102020";"2024";25;Medicina De Grupo;20752.00;3446104.49
"20102020";"2024";27;Filantropia;1272.00;177809.84
"20102020";"2024";28;Seguradora Especializada Em Saúde;12894.00;2045801.08
"20102038";"2023";22;Cooperativa Médica;115388.00;12571748.12
"20102038";"2023";24;Autogestão;41879.01;6754907.48
"20102038";"2023";25;Medicina De Grupo;70613.00;9562031.23
"20102038";"2023";27;Filantropia;4132.00;469568.88
"20102038";"2023";28;Seguradora Especializada Em Saúde;26097.00;3355272.52
"20102038";"2024";22;Cooperativa Médica;88712.00;9631628.45
"20102038";"2024";24;Autogestão;34331.02;5691385.33
"20102038";"2024";25;Medicina De Grupo;60754.00;9207573.27
"20102038";"2024";27;Filantropia;2306.00;315170.67
"20102038";"2024";28;Seguradora Especializada Em Saúde;16368.00;2200662.37
"20102070";"2023";22;Cooperativa Médica;908.00;325081.14
"20102070";"2023";24;Autogestão;192.00;72416.99
"20102070";"2023";25;Medicina De Grupo;276.00;107881.47
"20102070";"2023";27;Filantropia;24.00;10990.38
"20102070";"2023";28;Seguradora Especializada Em Saúde;162.00;65525.35
"20102070";"2024";22;Cooperativa Médica;589.00;272390.87
"20102070";"2024";24;Autogestão;129.00;68969.39
"20102070";"2024";25;Medicina De Grupo;241.00;114270.16
"20102070";"2024";27;Filantropia;6.00;3110.00
"20102070";"2024";28;Seguradora Especializada Em Saúde;48.00;19853.31
"20103018";"2023";22;Cooperativa Médica;379.00;6497.64
"20103018";"2023";24;Autogestão;14.00;311.20
"20103018";"2023";25;Medicina De Grupo;558.00;37445.48
"20103018";"2023";28;Seguradora Especializada Em Saúde;61.00;7080.47
"20103018";"2024";22;Cooperativa Médica;119.00;2807.40
"20103018";"2024";24;Autogestão;3.00;902.91
"20103018";"2024";25;Medicina De Grupo;658.00;53080.00
"20103018";"2024";28;Seguradora Especializada Em Saúde;34.00;2858.06
"20103026";"2023";25;Medicina De Grupo;4.00;66.16
"20103034";"2023";22;Cooperativa Médica;79.00;1237.63
"20103034";"2024";22;Cooperativa Médica;69.00;1161.58
"20103042";"2023";22;Cooperativa Médica;34.00;349.37
"20103042";"2023";24;Autogestão;10.00;290.00
"20103042";"2023";25;Medicina De Grupo;55.00;1117.00
"20103042";"2023";28;Seguradora Especializada Em Saúde;10.00;152.80
"20103042";"2024";25;Medicina De Grupo;2.00;30.07
"20103042";"2024";28;Seguradora Especializada Em Saúde;10.00;152.80
"20103050";"2023";22;Cooperativa Médica;209.00;2532.03
"20103050";"2023";25;Medicina De Grupo;5.00;65.65
"20103050";"2023";28;Seguradora Especializada Em Saúde;2.00;33.32
"20103050";"2024";22;Cooperativa Médica;127.00;1455.38
"20103069";"2023";22;Cooperativa Médica;740.00;7849.76
"20103069";"2023";24;Autogestão;132.00;6013.57
"20103069";"2023";25;Medicina De Grupo;449.00;6279.79
"20103069";"2023";27;Filantropia;57.00;420.30
"20103069";"2023";28;Seguradora Especializada Em Saúde;281.00;9480.72
"20103069";"2024";22;Cooperativa Médica;98.00;789.53
"20103069";"2024";25;Medicina De Grupo;19.00;1473.83
"20103069";"2024";27;Filantropia;40.00;502.40
"20103069";"2024";28;Seguradora Especializada Em Saúde;103.00;1982.86
"20103077";"2023";22;Cooperativa Médica;104.00;978.13
"20103077";"2023";24;Autogestão;196.00;7866.64
"20103077";"2023";25;Medicina De Grupo;1021.00;26955.49
"20103077";"2023";28;Seguradora Especializada Em Saúde;133.00;13302.84
"20103077";"2024";22;Cooperativa Médica;11.00;91.27
"20103077";"2024";24;Autogestão;70.00;2567.50
"20103077";"2024";25;Medicina De Grupo;5.00;65.10
